Company Name,Scrip Name,URL,Sector,Identifier
AKI India,AI80,https://www.moneycontrol.com/india/stockpricequote/akiindia/akiindia/AI80,akiindia,akiindia
Akme Fintrade I,AFIL,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/akmefintradeindia/AFIL,financeinvestment,akmefintradeindia
Akshar Spintex,ASL,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aksharspintex/ASL,textilesgeneral,aksharspintex
Akums Drugs P,ADP03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/akumsdrugspharmaceuticals/ADP03,pharmaceuticalsdrugs,akumsdrugspharmaceuticals
Al-Amanat Finan,AAF02,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/alamanatfinanceandcapitalservices/AAF02,financeinvestments,alamanatfinanceandcapitalservices
Alacrity Sec,AS04,https://www.moneycontrol.com/india/stockpricequote/financegeneral/alacritysecurities/AS04,financegeneral,alacritysecurities
Alang Ind Gases,AIG,https://www.moneycontrol.com/india/stockpricequote/chemicals/alangindustriesgases/AIG,chemicals,alangindustriesgases
Albert David,AD01,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01,pharmaceuticals,albertdavid
Alchemist Corp,AC23,https://www.moneycontrol.com/india/stockpricequote/alchemistcorp/alchemistcorporation/AC23,alchemistcorp,alchemistcorporation
Alembic,A08,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembic/A08,pharmaceuticals,alembic
Alert Petrogas,AP04,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alertpetrogas/AP04,miscellaneous,alertpetrogas
Alexcon Foam,AF04,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/alexconfoamcast/AF04,castingsforgings,alexconfoamcast
Alfa Laval,ALI02,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/alfalavalindia/ALI02,engineeringheavy,alfalavalindia
Alfred Herbert,AHI,https://www.moneycontrol.com/india/stockpricequote/engineering/alfredherbertindia/AHI,engineering,alfredherbertindia
Alivus Life,GLS01,https://www.moneycontrol.com/india/stockpricequote/alivuslife/alivuslifesciences/GLS01,alivuslife,alivuslifesciences
Alka Secur,AS17,https://www.moneycontrol.com/india/stockpricequote/financegeneral/alkasecurities/AS17,financegeneral,alkasecurities
Alkosign,A20,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alkosign/A20,miscellaneous,alkosign
All Metal Proc,AMP,https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/allmetalprocessindustries/AMP,steelcrhrstrips,allmetalprocessindustries
Allcargo Gati,G04,https://www.moneycontrol.com/india/stockpricequote/allcargogati/allcargogati/G04,allcargogati,allcargogati
Alliance Capita,ACF01,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/alliancecapitalfinancialservices/ACF01,financeleasinghirepurchase,alliancecapitalfinancialservices
Alliance Integ,AIM,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/allianceintegratedmetaliks/AIM,steelspongeiron,allianceintegratedmetaliks
Allied Digital,ADS01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/allieddigitalservices/ADS01,computerssoftwaremediumsmall,allieddigitalservices
